City_ID,city,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
410,mackay,-21.15,149.2,74.05,76,61,15.35,AU,1628730656
411,college,64.8569,-147.8028,68.58,55,75,0.0,US,1628730656
412,ouadda,8.0777,22.4007,68.36,97,100,1.66,CF,1628730657
413,jieshou,33.2634,115.3611,74.97,97,100,4.0,CN,1628730657
414,homer,59.6425,-151.5483,60.69,63,90,4.61,US,1628730594
415,tigil,57.8,158.6667,67.35,53,3,3.06,RU,1628730657
416,lata,40.1629,-8.3327,64.92,94,62,3.42,PT,1628730657
417,yumen,40.2833,97.2,71.13,39,0,9.19,CN,1628730658
418,lorca,37.6712,-1.7017,76.59,52,68,4.41,ES,1628730658
419,humberto de campos,-2.5983,-43.4611,75.63,93,26,5.55,BR,1628730658
420,mount isa,-20.7333,139.5,74.97,22,0,10.36,AU,1628730658
421,fare,-16.7,-151.0167,78.4,72,0,12.48,PF,1628730659
422,sitio novo do tocantins,-5.5183,-47.4611,80.92,50,38,3.09,BR,1628730659
423,avera,33.194,-82.5271,80.71,62,78,4.43,US,1628730659
424,isangel,-19.55,169.2667,73.02,56,53,18.3,VU,1628730660
425,jishou,28.3167,109.7167,79.65,93,100,1.74,CN,1628730660
426,castro alves,-12.7656,-39.4283,63.59,95,8,4.41,BR,1628730660
427,aykhal,66.0,111.5,61.92,52,100,7.2,RU,1628730660
428,nemuro,43.3236,145.575,59.65,69,12,2.28,JP,1628730661
429,santa fe,-31.6333,-60.7,51.98,64,3,5.14,AR,1628730462
430,lusambo,-4.9667,23.45,74.48,59,79,2.71,CD,1628730661
431,vryburg,-26.9566,24.7284,51.17,50,0,8.34,ZA,1628730661
432,odweyne,9.4092,45.064,71.94,55,4,13.06,SO,1628730661
433,mahebourg,-20.4081,57.7,71.89,83,75,9.22,MU,1628730662
434,vila franca do campo,37.7167,-25.4333,72.01,89,8,5.5,PT,1628730662
435,alexandria,31.2156,29.9553,81.73,67,0,8.16,EG,1628730555
436,vidim,56.4088,103.1106,70.56,43,29,2.89,RU,1628730662
437,kavaratti,10.5669,72.642,81.97,79,100,17.83,IN,1628730662
438,greensburg,40.3015,-79.5389,77.74,90,1,15.99,US,1628730486
